,sport
0,B_Ball
1,B_Ball
2,B_Ball
3,B_Ball
4,B_Ball
5,B_Ball
6,B_Ball
7,B_Ball
8,B_Ball
9,B_Ball
10,B_Ball
11,B_Ball
12,B_Ball
13,Row
14,Row
15,Row
16,Row
17,Row
18,Row
19,Row
20,Row
21,Row
22,Row
23,Row
24,Row
25,Row
26,Row
27,Row
28,Row
29,Row
30,Row
31,Row
32,Row
33,Row
34,Row
35,Netball
36,Netball
37,Netball
38,Netball
39,Netball
40,Netball
41,Netball
42,Netball
43,Netball
44,Netball
45,Netball
46,Netball
47,Netball
48,Netball
49,Netball
50,Netball
51,Netball
52,Netball
53,Netball
54,Netball
55,Netball
56,Netball
57,Netball
58,Swim
59,Swim
60,Swim
61,Swim
62,Swim
63,Swim
64,Swim
65,Swim
66,Swim
67,Field
68,T_400m
69,Field
70,Field
71,Field
72,Field
73,Field
74,Field
75,T_400m
76,T_Sprnt
77,T_400m
78,T_400m
79,T_400m
80,T_400m
81,T_400m
82,T_400m
83,T_400m
84,T_Sprnt
85,T_400m
86,T_400m
87,T_Sprnt
88,T_Sprnt
89,Tennis
90,Tennis
91,Tennis
92,Tennis
93,Tennis
94,Tennis
95,Tennis
96,Gym
97,Gym
98,Gym
99,Gym
100,Swim
101,Swim
102,Swim
103,Swim
104,Swim
105,Swim
106,Swim
107,Swim
108,Swim
109,Swim
110,Swim
111,Swim
112,Swim
113,Row
114,Row
115,Row
116,Row
117,Row
118,Row
119,Row
120,Row
121,Row
122,Row
123,Row
124,Row
125,Row
126,Row
127,Row
128,B_Ball
129,B_Ball
130,B_Ball
131,B_Ball
132,B_Ball
133,B_Ball
134,B_Ball
135,B_Ball
136,B_Ball
137,B_Ball
138,B_Ball
139,B_Ball
140,T_400m
141,T_400m
142,T_400m
143,T_400m
144,Field
145,Field
146,Field
147,T_400m
148,T_400m
149,T_400m
150,T_400m
151,T_400m
152,T_400m
153,T_400m
154,T_400m
155,T_Sprnt
156,T_Sprnt
157,T_Sprnt
158,Field
159,Field
160,Field
161,Field
162,Field
163,T_Sprnt
164,T_Sprnt
165,T_Sprnt
166,T_400m
167,T_400m
168,T_400m
169,T_400m
170,T_Sprnt
171,T_Sprnt
172,T_400m
173,T_Sprnt
174,T_400m
175,T_Sprnt
176,Field
177,Field
178,Field
179,Field
180,T_Sprnt
181,W_Polo
182,W_Polo
183,W_Polo
184,W_Polo
185,W_Polo
186,W_Polo
187,W_Polo
188,W_Polo
189,W_Polo
190,W_Polo
191,W_Polo
192,W_Polo
193,W_Polo
194,W_Polo
195,W_Polo
196,W_Polo
197,W_Polo
198,Tennis
199,Tennis
200,Tennis
201,Tennis
